model,phase,run,n_tokens,phase_s,e_cpu_mj,e_gpu_mj,e_gpu_sram_mj,e_dram_mj,e_ane_mj,e_domains_mj,j_per_tok,wh_per_1k_tok,timestamp
qwen2.5-coder:1.5b,prefill,0,1984,0.999488,0.0,29516.52,0.0,812.96,0.0,30329.47,0.0153,0.00425,2026-09-09T16:23:16Z
qwen2.5-coder:1.5b,decode,0,256,1.967091,22960.06,28517.34,0.0,7092.06,0.0,58569.46,0.2288,0.06355,2026-09-09T16:23:16Z
qwen2.5-coder:1.5b,prefill,1,1984,0.033875,34.23,631.2,0.0,32.29,0.0,697.72,0.0004,0.0001,2026-09-09T16:23:16Z
qwen2.5-coder:1.5b,decode,1,256,3.072152,8011.87,21586.29,0.0,6965.87,0.0,36564.03,0.1428,0.03967,2026-09-09T16:23:16Z
qwen2.5-coder:1.5b,prefill,2,1984,0.033082,84.44,621.16,0.0,37.14,0.0,742.74,0.0004,0.0001,2026-09-09T16:23:16Z
qwen2.5-coder:1.5b,decode,2,256,3.152514,7079.78,18749.41,0.0,7055.16,0.0,32884.36,0.1285,0.03568,2026-09-09T16:23:16Z
qwen2.5-coder:1.5b,prefill,3,1984,0.038193,0.0,684.69,0.0,45.4,0.0,730.09,0.0004,0.0001,2026-09-09T16:23:16Z
qwen2.5-coder:1.5b,decode,3,256,3.174513,7775.82,20098.47,0.0,6999.21,0.0,34873.49,0.1362,0.03784,2026-09-09T16:23:16Z
qwen2.5-coder:1.5b,prefill,4,1984,0.038267,0.0,662.83,0.0,40.91,0.0,703.74,0.0004,0.0001,2026-09-09T16:23:16Z
qwen2.5-coder:1.5b,decode,4,256,3.329457,6574.18,18789.5,0.0,7025.12,0.0,32388.79,0.1265,0.03514,2026-09-09T16:23:16Z
kv-judge-llama32-3b-g3,prefill,0,1956,2.053708,0.0,64948.27,0.0,1643.98,0.0,66592.26,0.034,0.00946,2026-09-09T16:23:16Z
kv-judge-llama32-3b-g3,decode,0,256,3.706216,12150.81,48837.61,0.0,14186.12,0.0,75174.55,0.2937,0.08157,2026-09-09T16:23:16Z
kv-judge-llama32-3b-g3,prefill,1,1956,0.01897,116.3,411.79,0.0,71.46,0.0,599.55,0.0003,9e-05,2026-09-09T16:23:16Z
kv-judge-llama32-3b-g3,decode,1,256,4.227223,9585.13,44382.18,0.0,14401.61,0.0,68368.92,0.2671,0.07419,2026-09-09T16:23:16Z
